Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Afghanistan,..,..,..,8.8,1.4,11.2,5.4,13.8,3.9,21.4,,14.4,0.4,12.8,5.6,2.7,1.5,2.3,2.6,1.2,3.9,-2.4,-20.7,..,..
Albania,6.9,8.3,4.5,5.5,5.5,5.5,5.9,6.0,7.5,3.4,,3.7,2.5,1.4,1.0,1.8,2.2,3.3,3.8,4.0,2.1,-3.3,8.9,4.9,..
Algeria,3.8,3.0,5.6,7.2,4.3,5.9,1.7,3.4,2.4,1.6,,3.6,2.9,3.4,2.8,3.8,3.7,3.2,1.3,1.2,1.0,-5.1,3.4,3.2,..
American Samoa,..,..,..,1.0,0.4,-0.4,-4.1,1.9,-2.7,-4.2,,0.3,0.0,-4.3,-2.5,1.8,3.1,-1.7,-7.0,2.7,-0.5,4.4,-0.8,1.7,..
Andorra,3.5,8.1,4.5,8.7,8.1,5.4,4.8,1.6,-5.6,-5.3,,-2.0,0.0,-5.0,-3.5,2.5,1.4,3.7,0.3,1.6,2.0,-11.2,8.3,8.8,..
Angola,3.1,4.2,13.7,3.0,11.0,15.0,11.5,14.0,11.2,0.9,,4.4,3.5,8.5,5.0,4.8,0.9,-2.6,-0.1,-1.3,-0.7,-5.6,1.2,3.0,..
Antigua and Barbuda,6.2,-4.5,1.0,6.1,5.8,6.5,12.7,9.3,0.0,-12.0,,-7.8,-2.0,1.4,0.5,2.2,1.4,4.1,2.5,7.0,3.1,-18.9,8.2,9.5,..
Argentina,-0.8,-4.4,-10.9,8.8,9.0,8.9,8.0,9.0,4.1,-5.9,,10.1,6.0,-1.0,2.4,-2.5,2.7,-2.1,2.8,-2.6,-2.0,-9.9,10.7,5.0,..
Armenia,5.9,9.6,13.2,14.0,10.5,13.9,13.2,13.7,6.9,-14.1,,2.2,4.7,7.2,3.3,3.6,3.2,0.2,7.5,5.2,7.6,-7.2,5.8,12.6,..
Aruba,7.6,4.2,-0.9,1.1,7.3,-0.4,1.1,3.1,1.8,-11.7,,-2.7,3.4,-1.0,6.4,-1.6,-0.6,1.7,7.0,2.4,-2.3,-24.0,27.6,10.5,..
Australia,3.9,2.0,4.0,3.1,4.2,3.2,2.8,3.8,3.6,1.9,,2.2,2.4,3.9,2.6,2.6,2.2,2.8,2.3,2.9,2.2,-0.3,2.1,4.3,..
Austria,3.4,1.3,1.7,0.9,2.7,2.2,3.5,3.7,1.5,-3.8,,1.8,2.9,0.7,0.0,0.7,1.0,2.0,2.3,2.4,1.5,-6.6,4.2,4.8,..
Azerbaijan,11.1,9.9,9.4,10.2,9.3,28.0,34.5,25.0,10.8,9.3,,5.0,0.1,2.2,5.8,2.8,1.1,-3.1,0.2,1.5,2.5,-4.3,5.6,4.6,..
"Bahamas, The",4.1,2.6,2.7,-1.3,0.9,3.4,2.5,1.4,-2.3,-4.2,,1.5,0.6,3.1,-2.9,1.8,1.0,-0.8,2.5,2.9,-0.7,-23.5,17.0,14.4,..
