Country Name ,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Afghanistan,..,..,..,..,..,12.7,6.8,8.7,26.4,-6.8,,2.2,11.8,6.4,7.4,4.7,-0.7,4.4,5.0,0.6,2.3,..,..,..,..
Albania,0.1,3.1,7.8,0.5,2.3,2.4,2.4,2.9,3.3,2.3,,3.6,3.4,2.0,1.9,1.6,1.9,1.3,2.0,2.0,1.4,1.6,2.0,6.7,..
Algeria,0.3,4.2,1.4,4.3,4.0,1.4,2.3,3.7,4.9,5.7,,3.9,4.5,8.9,3.3,2.9,4.8,6.4,5.6,4.3,2.0,2.4,7.2,9.3,..
American Samoa,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Angola,325.0,152.6,108.9,98.2,43.5,23.0,13.3,12.3,12.5,13.7,,14.5,13.5,10.3,8.8,7.3,9.4,30.7,29.8,19.6,17.1,22.3,25.8,..,..
Antigua and Barbuda,0.8,1.4,2.4,2.0,2.0,2.1,1.8,1.4,5.3,-0.6,,3.4,3.5,3.4,1.1,1.1,1.0,-0.5,2.4,1.2,1.4,0.6,2.1,7.5,..
Argentina,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Armenia,-0.8,3.1,1.1,4.7,7.0,0.6,2.9,4.4,8.9,3.4,,8.2,7.7,2.6,5.8,3.0,3.7,-1.4,1.0,2.5,1.4,1.2,7.2,8.6,..
Aruba,4.0,2.9,3.3,3.7,2.5,3.4,3.6,5.4,9.0,-2.1,,2.1,4.3,0.6,-2.4,0.4,0.5,-0.9,-1.0,3.6,4.3,..,..,..,..
Australia,4.5,4.4,3.0,2.7,2.3,2.7,3.6,2.3,4.4,1.8,,2.9,3.3,1.8,2.4,2.5,1.5,1.3,1.9,1.9,1.6,0.8,2.9,6.6,..
Austria,2.3,2.7,1.8,1.4,2.1,2.3,1.4,2.2,3.2,0.5,,1.8,3.3,2.5,2.0,1.6,0.9,0.9,2.1,2.0,1.5,1.4,2.8,8.5,..
Azerbaijan,1.8,1.5,2.8,2.2,6.7,9.7,8.3,16.7,20.8,1.5,,5.7,7.9,1.1,2.4,1.4,4.0,12.4,12.9,2.3,2.6,2.8,6.7,13.9,..
"Bahamas, The",1.6,2.0,2.2,3.0,1.0,1.6,2.4,2.5,4.5,2.1,,1.3,3.2,2.0,0.7,1.5,1.9,-0.3,1.5,2.3,2.5,0.0,2.9,5.6,..
Bahrain,-0.7,-1.2,-0.5,1.6,2.4,2.6,2.0,3.3,3.5,2.8,,2.0,-0.4,2.8,3.3,2.6,1.8,2.8,1.4,2.1,1.0,-2.3,-0.6,3.6,..
Bangladesh,2.2,2.0,3.3,5.7,7.6,7.0,6.8,9.1,8.9,5.4,,8.1,11.4,6.2,7.5,7.0,6.2,5.5,5.7,5.5,5.6,5.7,5.5,7.7,..
Barbados,2.4,2.6,0.1,1.6,1.4,6.1,7.3,4.0,8.1,3.6,,5.8,9.4,4.5,1.8,1.8,-1.1,1.3,4.7,3.7,4.1,..,..,..,..
