Countries,SecurityThreatsIndex2023,GlobalRank
Ukraine,10,1
Afghanistan,9.7,2
Mali,9.6,3
Libya,9.5,4
Somalia,9.5,5
Syria,9.4,6
Burkina Faso,9.3,7
Burma,9.1,8
Philippines,9.1,9
Nigeria,9,10
DR Congo,8.8,11
Chad,8.7,12
Guinea,8.7,13
Ethiopia,8.6,14
Yemen,8.6,15
Zimbabwe,8.4,16
Mexico,8.3,17
Niger,8.3,18
Russia,8.3,19
Sudan,8.3,20
Cameroon,8.1,21
C.A. Republic,8,22
Thailand,8,23
G.-Bissau,7.9,24
Palestine,7.9,25
Burundi,7.8,26
Pakistan,7.6,27
Iraq,7.5,28
North Korea,7.4,29
Lebanon,7.3,30
Tr.&Tobago,7.3,31
Egypt,7,32
Iran,7,33
Jamaica,7,34
Mozambique,7,35
Tunisia,6.9,36
Bangladesh,6.8,37
Belize,6.8,38
Haiti,6.8,39
Honduras,6.8,40
Kenya,6.8,41
Liberia,6.8,42
Sri Lanka,6.8,43
Colombia,6.7,44
Venezuela,6.7,45
Angola,6.6,46
Ivory Coast,6.6,47
South Africa,6.6,48
Turkey,6.6,49
Guyana,6.5,50
Papua N.G.,6.5,51
Cambodia,6.4,52
Fiji,6.4,53
R. of Congo,6.4,54
Uganda,6.3,55
Brazil,6.2,56
Guatemala,6.2,57
Ecuador,6,58
El Salvador,6,59
Eritrea,6,60
India,6,61
Peru,6,62
Eq. Guinea,5.9,63
Algeria,5.8,64
Azerbaijan,5.8,65
Lesotho,5.8,66
Togo,5.8,67
Armenia,5.7,68
Madagascar,5.7,69
Mauritania,5.7,70
Paraguay,5.7,71
Comoros,5.6,72
Kyrgyzstan,5.6,73
Nicaragua,5.6,74
Uzbekistan,5.6,75
Domin. Rep.,5.5,76
Nepal,5.5,77
Tajikistan,5.5,78
Belarus,5.4,79
Bahrain,5.3,80
Bolivia,5.3,81
Djibouti,5.3,82
Benin,5.2,83
Indonesia,5.2,84
Rwanda,5.2,85
Seychelles,5.2,86
Gambia,5.1,87
Saudi Arabia,5.1,88
Georgia,5,89
Solomon Isl.,5,90
Ant.& Barb.,4.9,91
China,4.9,92
Maldives,4.9,93
Albania,4.8,94
Grenada,4.8,95
Malaysia,4.8,96
USA,4.7,97
Jordan,4.6,98
Panama,4.6,99
Tanzania,4.6,100
Italy,4.5,101
Moldova,4.5,102
Senegal,4.5,103
Swaziland,4.5,104
Turkmenistan,4.5,105
Barbados,4.4,106
Bosnia & Herz.,4.4,107
Argentina,4.3,108
Bahamas,4.3,109
Morocco,4.3,110
Cape Verde,4.2,111
Gabon,4.2,112
Malawi,4.2,113
Namibia,4.2,114
Bulgaria,4.1,115
North Macedonia,4.1,116
S.T.&Principe,4.1,117
Ghana,4,118
Kazakhstan,4,119
Montenegro,4,120
Brunei,3.9,121
Laos,3.9,122
Serbia,3.9,123
Zambia,3.9,124
Chile,3.6,125
Samoa,3.6,126
Sierra Leone,3.6,127
Uruguay,3.6,128
Vietnam,3.5,129
Botswana,3.4,130
Cuba,3.4,131
Suriname,3.4,132
Greece,3.3,133
Micronesia,3.1,134
Costa Rica,2.9,135
Cyprus,2.9,136
France,2.9,137
Mongolia,2.9,138
UK,2.9,139
Spain,2.8,140
Bhutan,2.7,141
Israel,2.6,142
Belgium,2.4,143
Kuwait,2.4,144
Oman,2.4,145
Germany,2.3,146
UA Emirates,2.3,147
Canada,2.2,148
Lithuania,2.2,149
Australia,2.1,150
Ireland,2.1,151
Sweden,2.1,152
Croatia,2,153
Czechia,2,154
Finland,2,155
Latvia,2,156
Romania,1.9,157
Hungary,1.8,158
Malta,1.8,159
Netherlands,1.8,160
Poland,1.8,161
Estonia,1.7,162
New Zealand,1.6,163
Japan,1.5,164
South Korea,1.5,165
Austria,1.4,166
Norway,1.4,167
Switzerland,1.4,168
Slovakia,1.2,169
Denmark,1.1,170
Mauritius,1,171
Qatar,1,172
Iceland,0.4,173
Luxembourg,0.4,174
Singapore,0.4,175
Portugal,0.3,176
Slovenia,0.3,177
